date,temperature,rainfall,humidity
2024-12-01 22:39:30.994155,14.62,0.0,71.5
2024-12-02 22:39:30.994155,11.36,0.0,72.5
2024-12-03 22:39:30.994155,12.96,0.0,72.6
2024-12-04 22:39:30.994155,16.27,0.0,68.1
2024-12-05 22:39:30.994155,15.5,5.95,78.6
2024-12-06 22:39:30.994155,8.54,0.0,83.8
2024-12-07 22:39:30.994155,13.52,3.08,77.0
2024-12-08 22:39:30.994155,10.92,0.0,72.1
2024-12-09 22:39:30.994155,11.21,0.0,81.5
2024-12-10 22:39:30.994155,12.65,0.0,74.9
2024-12-11 22:39:30.994155,12.15,0.0,82.6
2024-12-12 22:39:30.994155,15.59,0.0,81.2
2024-12-13 22:39:30.994155,14.02,0.0,69.6
2024-12-14 22:39:30.994155,12.58,0.0,71.2
2024-12-15 22:39:30.994155,13.56,0.0,67.0
2024-12-16 22:39:30.994155,13.45,1.05,71.4
2024-12-17 22:39:30.994155,16.52,0.31,65.4
2024-12-18 22:39:30.994155,12.44,0.0,76.0
2024-12-19 22:39:30.994155,13.9,0.61,70.8
2024-12-20 22:39:30.994155,11.15,0.0,73.6
2024-12-21 22:39:30.994155,7.07,0.0,88.3
2024-12-22 22:39:30.994155,15.26,0.0,64.0
2024-12-23 22:39:30.994155,15.96,0.0,71.1
2024-12-24 22:39:30.994155,12.11,0.0,71.9
2024-12-25 22:39:30.994155,19.81,0.0,67.1
2024-12-26 22:39:30.994155,10.68,0.31,84.8
2024-12-27 22:39:30.994155,14.6,0.1,68.8
2024-12-28 22:39:30.994155,14.19,0.59,73.8
2024-12-29 22:39:30.994155,18.66,0.0,65.6
2024-12-30 22:39:30.994155,18.67,0.21,59.7
2024-12-31 22:39:30.994155,15.56,0.74,70.6
2025-01-01 22:39:30.994155,16.12,0.0,70.0
2025-01-02 22:39:30.994155,13.12,1.5,75.3
2025-01-03 22:39:30.994155,10.56,0.0,75.4
2025-01-04 22:39:30.994155,14.82,0.72,70.8
2025-01-05 22:39:30.994155,16.25,0.0,61.2
2025-01-06 22:39:30.994155,19.11,0.32,61.7
