date,temp_mean,rain_total,humid_mean
2024-12-01,14.62,0.0,71.5
2024-12-02,11.36,0.0,72.5
2024-12-03,12.96,0.0,72.6
2024-12-04,16.27,0.0,68.1
2024-12-05,15.5,5.95,78.6
2024-12-06,8.54,0.0,83.8
2024-12-07,13.52,3.08,77.0
2024-12-08,10.92,0.0,72.1
2024-12-09,11.21,0.0,81.5
2024-12-10,12.65,0.0,74.9
2024-12-11,12.15,0.0,82.6
2024-12-12,15.59,0.0,81.2
2024-12-13,14.02,0.0,69.6
2024-12-14,12.58,0.0,71.2
2024-12-15,13.56,0.0,67.0
2024-12-16,13.45,1.05,71.4
2024-12-17,16.52,0.31,65.4
2024-12-18,12.44,0.0,76.0
2024-12-19,13.9,0.61,70.8
2024-12-20,11.15,0.0,73.6
2024-12-21,7.07,0.0,88.3
2024-12-22,15.26,0.0,64.0
2024-12-23,15.96,0.0,71.1
2024-12-24,12.11,0.0,71.9
2024-12-25,19.81,0.0,67.1
2024-12-26,10.68,0.31,84.8
2024-12-27,14.6,0.1,68.8
2024-12-28,14.19,0.59,73.8
2024-12-29,18.66,0.0,65.6
2024-12-30,18.67,0.21,59.7
2024-12-31,15.56,0.74,70.6
2025-01-01,16.12,0.0,70.0
2025-01-02,13.12,1.5,75.3
2025-01-03,10.56,0.0,75.4
2025-01-04,14.82,0.72,70.8
2025-01-05,16.25,0.0,61.2
2025-01-06,19.11,0.32,61.7
2025-01-07,19.21,0.3,67.0
2025-01-08,15.4,7.28,74.7
2025-01-09,15.79,0.0,66.3
2025-01-10,14.09,0.0,72.0
2025-01-11,13.33,1.95,73.8
2025-01-12,12.79,0.0,74.5
2025-01-13,22.1,4.94,62.6
2025-01-14,16.11,0.0,57.4
2025-01-15,16.46,0.0,67.5
2025-01-16,14.59,0.0,72.0
2025-01-17,19.83,0.0,56.7
2025-01-18,14.01,0.74,81.5
2025-01-19,17.68,0.0,66.9
2025-01-20,16.14,0.0,77.6
2025-01-21,19.5,1.05,58.5
2025-01-22,17.42,0.59,60.9
2025-01-23,15.91,0.0,70.0
2025-01-24,18.94,0.0,54.0
2025-01-25,20.24,0.0,63.4
2025-01-26,19.49,0.0,63.8
2025-01-27,20.24,0.64,68.2
2025-01-28,18.05,0.24,69.6
2025-01-29,18.88,0.0,61.6
2025-01-30,18.26,0.0,58.5
2025-01-31,19.19,0.0,74.0
2025-02-01,18.2,0.0,60.4
2025-02-02,16.06,0.17,62.1
2025-02-03,20.97,0.0,54.5
2025-02-04,19.66,0.0,69.7
2025-02-05,16.73,0.39,64.3
2025-02-06,22.1,6.74,54.8
2025-02-07,18.82,1.26,65.1
2025-02-08,21.35,0.0,59.2
2025-02-09,23.18,0.0,53.6
2025-02-10,21.81,0.0,64.3
2025-02-11,24.46,1.33,62.2
2025-02-12,18.66,0.0,70.4
2025-02-13,22.88,0.16,62.8
2025-02-14,20.28,2.2,64.5
2025-02-15,19.94,0.0,51.9
2025-02-16,20.79,0.66,71.3
2025-02-17,21.58,2.42,61.9
2025-02-18,22.61,0.0,62.2
2025-02-19,19.67,0.0,69.7
2025-02-20,24.95,2.38,63.7
2025-02-21,23.97,0.0,59.0
2025-02-22,19.07,0.0,66.5
2025-02-23,26.73,0.0,48.8
2025-02-24,27.86,0.0,50.9
2025-02-25,26.16,0.0,48.1
2025-02-26,22.86,0.58,53.9
2025-02-27,20.73,0.86,56.0
2025-02-28,26.13,0.0,52.3
2025-03-01,22.58,0.28,64.9
2025-03-02,26.73,1.86,71.4
2025-03-03,24.28,0.95,57.2
2025-03-04,26.28,0.0,45.0
2025-03-05,24.81,0.0,62.8
2025-03-06,25.76,0.0,52.0
2025-03-07,24.1,0.0,52.4
2025-03-08,28.61,0.78,50.8
2025-03-09,24.53,0.0,48.2
2025-03-10,25.28,0.0,55.9
2025-03-11,29.05,0.0,48.4
2025-03-12,21.03,0.0,61.5
2025-03-13,21.28,0.0,62.8
2025-03-14,26.93,0.0,52.5
2025-03-15,21.63,0.0,60.1
2025-03-16,29.47,1.34,50.0
2025-03-17,23.62,0.0,59.5
2025-03-18,22.83,0.0,52.0
2025-03-19,29.55,0.0,39.6
2025-03-20,28.48,1.14,49.4
2025-03-21,29.48,0.0,39.7
2025-03-22,27.11,0.0,52.3
2025-03-23,22.72,0.7,64.0
2025-03-24,29.67,1.21,51.6
2025-03-25,24.25,0.0,49.8
2025-03-26,26.95,0.0,46.9
2025-03-27,27.33,0.0,53.5
2025-03-28,24.59,0.0,53.2
2025-03-29,26.52,0.0,50.8
2025-03-30,27.3,0.0,55.1
2025-03-31,25.94,0.0,47.6
2025-04-01,22.25,0.27,56.7
2025-04-02,25.74,2.77,49.1
2025-04-03,28.31,5.84,43.7
2025-04-04,23.25,0.0,52.5
2025-04-05,24.61,4.03,59.6
2025-04-06,23.88,0.0,57.0
2025-04-07,29.57,0.0,42.8
2025-04-08,26.61,2.36,51.2
2025-04-09,25.93,0.0,43.7
2025-04-10,22.96,2.75,53.6
2025-04-11,26.21,5.82,66.1
2025-04-12,23.14,0.61,57.2
2025-04-13,24.88,0.0,59.6
2025-04-14,23.17,3.77,57.3
2025-04-15,26.41,0.0,54.9
2025-04-16,26.12,1.38,57.3
2025-04-17,24.11,0.0,49.7
2025-04-18,25.58,2.13,53.9
2025-04-19,21.8,0.0,69.2
2025-04-20,20.76,0.0,56.6
2025-04-21,25.53,0.07,50.8
2025-04-22,24.79,0.19,53.4
2025-04-23,25.89,6.7,55.2
2025-04-24,30.2,0.0,50.3
2025-04-25,26.54,0.0,60.3
2025-04-26,21.82,0.0,62.7
2025-04-27,26.83,0.0,51.9
2025-04-28,20.67,1.7,69.0
2025-04-29,22.73,5.06,62.6
2025-04-30,23.63,3.1,48.1
2025-05-01,28.0,0.0,65.6
2025-05-02,21.77,0.0,70.4
2025-05-03,21.48,0.0,59.2
2025-05-04,23.21,0.0,59.9
2025-05-05,21.7,1.09,67.9
2025-05-06,26.08,0.0,52.3
2025-05-07,20.47,0.0,66.2
2025-05-08,20.2,0.0,68.8
2025-05-09,21.87,1.63,53.6
2025-05-10,21.61,0.23,56.4
2025-05-11,27.57,0.96,56.6
2025-05-12,25.01,1.73,57.7
2025-05-13,22.75,0.0,63.9
2025-05-14,19.35,0.0,62.7
2025-05-15,24.41,0.0,54.1
2025-05-16,19.68,0.0,51.0
2025-05-17,18.19,1.0,58.3
2025-05-18,24.9,0.0,55.4
2025-05-19,22.6,2.91,63.5
2025-05-20,23.98,0.0,59.7
2025-05-21,22.35,3.67,58.2
2025-05-22,23.56,0.0,55.5
2025-05-23,19.66,0.0,64.3
2025-05-24,18.57,4.26,65.1
2025-05-25,22.72,0.0,66.8
2025-05-26,18.87,0.21,65.0
2025-05-27,19.01,0.0,55.1
2025-05-28,19.46,2.61,55.7
2025-05-29,20.5,3.13,70.8
2025-05-30,19.42,0.0,56.3
2025-05-31,16.72,0.0,72.0
2025-06-01,18.4,0.0,63.3
2025-06-02,14.3,3.54,70.0
2025-06-03,21.27,0.96,59.8
2025-06-04,15.55,0.11,76.5
2025-06-05,16.64,1.55,66.4
2025-06-06,19.38,1.31,63.2
2025-06-07,17.24,0.0,57.4
2025-06-08,22.79,0.0,59.5
2025-06-09,15.54,0.0,72.3
2025-06-10,19.28,0.31,65.0
2025-06-11,18.36,2.5,73.3
2025-06-12,15.37,0.0,69.7
2025-06-13,19.44,1.72,65.1
2025-06-14,17.54,2.66,76.1
2025-06-15,19.73,0.0,53.6
2025-06-16,19.7,0.0,60.2
2025-06-17,22.88,2.44,66.7
2025-06-18,20.64,0.0,67.1
2025-06-19,16.21,1.19,72.2
2025-06-20,16.37,0.5,72.9
2025-06-21,19.55,0.0,65.1
2025-06-22,18.27,0.01,74.9
2025-06-23,18.06,0.94,67.7
2025-06-24,12.25,1.33,75.5
2025-06-25,16.06,0.0,69.3
2025-06-26,14.1,0.0,72.5
2025-06-27,16.47,0.0,60.8
2025-06-28,15.36,0.0,74.1
2025-06-29,17.71,0.0,65.1
2025-06-30,16.05,0.0,79.3
2025-07-01,17.05,0.0,66.4
2025-07-02,13.75,0.89,74.4
2025-07-03,12.38,0.96,75.4
2025-07-04,13.54,0.0,68.4
2025-07-05,14.36,0.0,76.9
2025-07-06,15.17,0.0,81.1
2025-07-07,19.7,0.0,62.8
2025-07-08,13.78,2.28,70.0
2025-07-09,11.32,0.0,73.4
2025-07-10,12.68,0.0,62.1
2025-07-11,12.21,0.0,73.1
2025-07-12,14.41,0.0,72.4
2025-07-13,9.18,0.0,85.0
2025-07-14,13.02,1.01,78.7
2025-07-15,13.09,4.35,70.3
2025-07-16,13.11,0.0,71.1
2025-07-17,10.87,0.0,82.9
2025-07-18,11.6,3.73,74.0
